traj_idx,frame,x,y,z
0,1128,100.2023930211066,109.77674247119155,0.0
0,1129,101.81153022753702,111.9507087795234,0.0
0,1131,102.78866376696377,113.08131928888992,0.0
0,1132,103.39411599901057,112.96701120983997,0.0
0,1133,104.29573513957328,112.2103457020108,0.0
0,1134,105.44014893155015,111.7627298408397,0.0
0,1136,105.31159289755772,111.58881689108657,0.0
0,1137,105.7770641936991,111.8812954400927,0.0
1,1964,44.15109941161356,108.82242114947684,0.0
1,1965,45.1127294371289,109.72849012243506,0.0
1,1966,47.403837252214295,111.51342887648585,0.0
2,1554,105.11337454844508,60.97700744127011,0.0
2,1555,104.96958083888,63.12264337804851,0.0
2,1558,100.48822791302196,64.84992418369625,0.0
3,2204,60.23115988027641,7.678587492117034,0.0
3,2205,58.47312718776224,6.500888762838987,0.0
3,2206,59.65124280707124,5.642477054592382,0.0
4,1762,21.085762117493186,48.98568683174384,0.0
4,1763,20.70753422440744,48.43023079727272,0.0
4,1766,18.5697969759595,47.57333665743612,0.0
5,2496,48.89567329989612,105.71744867011611,0.0
5,2497,49.42949170167071,105.1506426777926,0.0
5,2498,47.4786182125927,100.82713535816464,0.0
5,2499,49.30513560140589,100.21365271541212,0.0
5,2500,47.27853859963165,100.04851785842526,0.0
6,2058,37.52449248481956,58.78799061357103,0.0
6,2061,36.25516739125842,57.66582480828515,0.0
6,2062,36.87739116827459,55.80661929904839,0.0
6,2063,36.82036008507574,53.61866192049967,0.0
6,2064,37.1786575609186,52.88149621401131,0.0
6,2065,39.02327312603922,53.18653545862802,0.0
7,2176,30.032152539145503,89.40851099411235,0.0
7,2177,33.12289432195425,90.62674258938948,0.0
7,2179,34.114879620074966,88.0474083018457,0.0
7,2180,36.23053068611726,88.04365088528083,0.0
7,2182,39.03635130525825,86.53704629407763,0.0
7,2183,38.82435086450043,87.76514861813182,0.0
7,2184,41.2340268158224,90.36605370079964,0.0
7,2185,40.45298422716482,92.28734902916572,0.0
7,2186,42.01580106734758,90.42431018510878,0.0
7,2187,42.7073992221319,91.75471179956295,0.0
7,2188,40.85754080146901,92.1583066394512,0.0
7,2189,43.80832690335546,89.31857535853061,0.0
7,2190,44.17843617009428,88.56966194628971,0.0
7,2191,43.22462449773635,90.12072218286116,0.0
7,2192,43.53694527010367,89.27385172251151,0.0
7,2195,45.86254952443517,89.04335471644161,0.0
7,2196,44.08523035404426,89.2653645667452,0.0
7,2197,42.70207466482693,89.50276868802327,0.0
8,2271,61.85199022772085,83.17165214315835,0.0
8,2272,62.80546603707163,83.7256740878944,0.0
8,2273,60.960578110747214,84.10144559042072,0.0
8,2275,57.90147331171353,80.54693806653252,0.0
